,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0274987205521495,0.1329334286495082,0.2653880413959211,0.4164346982403765,0.5946095356486334,0.6414183729749697,0.8091993768548206,0.8561643879909501,0.8742005427578191,0.9171325747477241,1.0
2,0.0,0.06225118737992211,0.19470580012633504,0.3457524569707904,0.5239272943790473,0.5707361317053836,0.7385171355852345,0.785482146721364,0.803518301488233,0.846450333478138,0.929317758730414
3,0.0,0.0,0.017879883887352344,0.16892654073180774,0.3471013781400646,0.39391021546640087,0.5616912193462518,0.6086562304823813,0.6266923852492503,0.6696244172391553,0.7524918424914313
4,0.0,0.0,0.0,0.0998863710658551,0.2780612084741119,0.3248700458004482,0.49265104968029905,0.5396160608164285,0.5576522155832976,0.6005842475732026,0.6834516728254786
5,0.0,0.0,0.0,0.0,0.1226441644989364,0.16945300182527268,0.3372340057051235,0.38419901684125307,0.40223517160812217,0.44516720359802714,0.5280346288503031
6,0.0,0.0,0.0,0.0,0.0,0.005525307988846412,0.17330631186869727,0.22027132300482682,0.2383074777716959,0.2812395097616009,0.3641069350138768
7,0.0,0.0,0.0,0.0,0.0,0.0,0.09817352095011318,0.14513853208624275,0.16317468685311182,0.20610671884301676,0.28897414409529276
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012695728247870608,0.03073188301473967,0.07366391500464461,0.15653134025692056
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021404903954000878,0.04507252238530504,0.127939947637581
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019172082037438318,0.08478463345601979
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05961531594341837
